Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
37,3,7,0,5.555555555555555,54,17.0,17.0,47,clustered,2
38,0,10,0,0.0,33,17.0,17.0,50,clustered,2
39,0,10,0,0.0,27,17.0,17.0,56,clustered,2
40,0,10,0,0.0,32,17.0,17.0,45,clustered,2
41,0,10,0,0.0,48,17.0,17.0,39,clustered,2
42,1,9,0,1.5151515151515151,66,17.0,17.0,51,clustered,2
43,0,10,0,0.0,42,17.0,17.0,46,clustered,2
44,0,10,0,0.0,26,17.0,17.0,42,clustered,2
45,0,10,0,0.0,61,17.0,17.0,50,clustered,2
46,2,8,0,2.941176470588235,68,17.0,17.0,49,clustered,2
47,1,9,0,1.3888888888888888,72,17.0,17.0,41,clustered,2
48,0,10,0,0.0,32,17.0,17.0,36,clustered,2
49,0,10,0,0.0,43,17.0,17.0,44,clustered,2
50,0,10,0,0.0,49,17.0,17.0,50,clustered,2
51,0,10,0,0.0,34,17.0,17.0,35,clustered,2
52,0,10,0,0.0,50,17.0,17.0,31,clustered,2
53,0,10,0,0.0,43,17.0,17.0,49,clustered,2
54,0,10,0,0.0,34,17.0,17.0,49,clustered,2
55,2,8,0,4.25531914893617,47,17.0,17.0,40,clustered,2
56,0,10,0,0.0,30,17.0,17.0,50,clustered,2
57,2,8,0,2.0618556701030926,97,17.0,17.0,40,clustered,2
58,0,10,0,0.0,46,17.0,17.0,56,clustered,2
59,1,8,1,0.125,800,17.0,17.0,48,clustered,2
60,0,10,0,0.0,57,17.0,17.0,46,clustered,2
61,0,10,0,0.0,29,17.0,17.0,42,clustered,2
62,1,9,0,1.5151515151515151,66,17.0,17.0,67,clustered,2
63,0,10,0,0.0,35,17.0,17.0,63,clustered,2
64,0,10,0,0.0,38,17.0,17.0,38,clustered,2
65,0,10,0,0.0,37,17.0,17.0,48,clustered,2
66,1,8,1,0.125,800,17.0,17.0,47,clustered,2
67,0,10,0,0.0,60,17.0,17.0,62,clustered,2
68,0,10,0,0.0,35,17.0,17.0,43,clustered,2
69,0,10,0,0.0,26,17.0,17.0,50,clustered,2
70,0,10,0,0.0,54,17.0,17.0,39,clustered,2
71,0,10,0,0.0,43,17.0,17.0,39,clustered,2
72,0,10,0,0.0,38,17.0,17.0,45,clustered,2
73,2,8,0,2.5316455696202533,79,17.0,17.0,33,clustered,2
74,0,10,0,0.0,47,17.0,17.0,43,clustered,2
75,0,10,0,0.0,32,17.0,17.0,39,clustered,2
76,0,10,0,0.0,57,17.0,17.0,32,clustered,2
77,0,10,0,0.0,25,17.0,17.0,68,clustered,2
78,1,9,0,1.0638297872340425,94,17.0,17.0,47,clustered,2
79,0,9,1,0.0,800,17.0,17.0,38,clustered,2
80,0,10,0,0.0,28,17.0,17.0,45,clustered,2
81,0,10,0,0.0,32,17.0,17.0,55,clustered,2
82,1,9,0,2.272727272727273,44,17.0,17.0,46,clustered,2
83,0,10,0,0.0,38,17.0,17.0,32,clustered,2
84,0,10,0,0.0,65,17.0,17.0,61,clustered,2
85,0,10,0,0.0,46,17.0,17.0,44,clustered,2
86,3,6,1,0.375,800,17.0,17.0,45,clustered,2
87,1,9,0,1.3333333333333335,75,17.0,17.0,58,clustered,2
88,0,10,0,0.0,62,17.0,17.0,39,clustered,2
89,0,10,0,0.0,47,17.0,17.0,52,clustered,2
90,1,9,0,1.6129032258064515,62,17.0,17.0,54,clustered,2
91,0,10,0,0.0,83,17.0,17.0,41,clustered,2
92,1,9,0,1.5625,64,17.0,17.0,52,clustered,2
93,0,10,0,0.0,35,17.0,17.0,39,clustered,2
94,0,10,0,0.0,53,17.0,17.0,45,clustered,2
95,4,5,1,0.5,800,17.0,17.0,48,clustered,2
